attraction_id,attraction_name,city_id,category,entry_fee_indian_inr,entry_fee_foreigner_inr,camera_fee_inr,trust_score,scam_markup_pct,timestamp
30,Udayagiri Caves,86,Fort,150,1200,50,68.7,28.7,2025-03-01 10:54:41
31,Jagannath Temple,87,Temple,200,2000,50,65.6,25.0,2026-04-05 02:23:40
32,Puri Beach,87,Beach,0,0,25,85.2,0,2025-11-26 16:08:23
33,Konark Sun Temple,88,Temple,200,1600,0,67.8,19.6,2025-09-08 20:00:03
34,Golden Temple,91,Temple,150,2250,100,94.5,0,2025-06-05 00:38:58
35,Wagah Border,91,Market,200,1000,50,55.1,22.2,2026-05-19 17:14:46
36,Rock Garden,92,Garden,30,300,25,76.9,6.8,2025-12-31 15:49:25
37,Sukhna Lake,92,Lake,150,750,50,70.7,14.1,2025-11-26 06:03:43
38,Amber Fort,95,Fort,20,160,100,56.9,32.9,2026-05-19 20:04:17
39,Hawa Mahal,95,National Park,200,3000,100,69.7,23.1,2025-09-02 16:15:44
40,City Palace Jaipur,95,Bridge,200,1000,50,62.6,21.8,2025-02-26 17:29:24
41,Jantar Mantar,95,Palace,20,100,0,79.5,6.5,2026-06-30 07:30:03
42,City Palace Udaipur,96,Viewpoint,100,1500,50,80.6,5.1,2025-01-11 09:37:45
43,Lake Pichola,96,Waterfall,200,1600,0,75.8,7.2,2026-03-18 23:20:28
44,Mehrangarh Fort,97,Fort,30,450,0,84.2,0.6,2025-12-03 20:08:56
45,Umaid Bhawan Palace,97,Palace,100,1500,50,71.9,16.0,2026-02-01 04:40:48
46,Jaisalmer Fort,98,Fort,30,240,50,66.2,28.2,2026-05-01 14:44:30
47,Sam Sand Dunes,98,Beach,10,80,0,77.9,12.1,2026-06-02 09:18:14
48,MG Marg,103,Viewpoint,200,1000,25,83.0,3.3,2026-01-30 19:10:26
49,Tsomgo Lake,103,Lake,20,200,25,59.7,23.0,2025-11-14 06:04:32
50,Marina Beach,106,Beach,10,150,100,64.7,13.5,2025-07-15 02:11:43
51,Kapaleeshwarar Temple,106,Temple,0,0,0,65.2,33.0,2025-08-27 02:25:03
52,Meenakshi Amman Temple,107,Temple,100,1500,100,62.4,31.4,2026-05-07 09:11:17
53,Ramanathaswamy Temple,111,Temple,10,150,0,67.8,19.4,2026-04-03 13:52:00
54,Shore Temple,112,Temple,150,2250,0,69.6,19.3,2025-07-20 01:02:19
55,Five Rathas,112,Garden,50,400,100,80.4,6.6,2025-08-11 21:22:43
56,Taj Mahal,120,Monastery,200,3000,0,61.4,19.9,2025-07-31 15:22:22
57,Agra Fort,120,Fort,50,500,25,80.3,4.1,2026-03-30 21:26:31
58,Fatehpur Sikri,120,Temple,20,300,100,72.0,10.2,2026-06-04 15:25:13
59,Kashi Vishwanath Temple,121,Temple,200,1600,50,86.8,0,2026-04-19 23:43:28
60,Dashashwamedh Ghat,121,Monastery,20,300,0,61.0,37.6,2025-01-26 04:57:12
61,Krishna Janmabhoomi Temple,122,Temple,30,240,25,75.7,13.1,2026-03-01 04:30:05
62,Ram Janmabhoomi Temple,123,Temple,20,200,0,71.1,14.5,2025-03-26 06:33:01
63,Laxman Jhula,128,Bridge,50,750,0,45.1,31.6,2026-04-16 16:23:28
64,Triveni Ghat,128,Heritage Walk,20,200,100,73.4,10.5,2026-03-30 17:40:51
65,Har Ki Pauri,129,Market,50,500,0,79.6,4.5,2025-06-25 00:46:40
66,Naini Lake,130,Lake,0,0,0,70.3,11.9,2025-10-24 23:36:21
67,Snow View Point,130,Temple,20,300,50,57.6,27.0,2025-11-29 12:48:53
68,Victoria Memorial,134,Lake,10,150,0,75.0,14.9,2025-02-08 13:24:57
69,Howrah Bridge,134,Bridge,100,500,0,57.8,24.1,2026-03-29 19:51:44
70,Dakshineswar Temple,134,Temple,200,2000,0,42.8,74.7,2025-07-14 07:54:41
71,Tiger Hill,135,Palace,10,50,0,91.5,0,2026-03-29 06:38:08
72,Darjeeling Himalayan Railway,135,Temple,30,450,25,92.4,0,2025-12-25 11:49:00
73,Prayagraj Lake,124,Lake,0,0,0,79.6,4.5,2026-05-16 02:51:50
74,Kovalam Garden,61,Garden,30,450,0,70.3,14.3,2025-03-21 09:09:42
75,Festival Dibrugarh Hill Station Point,11,Lake,150,1200,50,93.1,0,2025-07-26 22:22:46
76,Local Favourite Mysuru Market,49,Market,150,1500,0,77.6,6.4,2025-06-19 16:15:55
77,Village-style Aizawl Waterfall,82,Waterfall,150,750,25,36.9,38.7,2025-04-26 07:55:00
78,Special Tirupati Palace,3,Palace,50,250,100,82.5,4.1,2025-03-11 08:07:36
79,Kovalam Wildlife Sanctuary,61,Hill Station Point,100,500,25,60.0,21.9,2026-06-22 20:07:22
80,Authentic Panipat Hill Station Point,38,Dam,50,500,50,64.1,15.3,2026-03-12 20:22:43
81,Kanyakumari Church,110,Church,50,250,50,77.0,13.8,2025-07-26 22:51:36
82,Orchha Fort,68,Fort,10,50,100,86.4,0,2026-02-10 22:13:45
83,Spiti Temple,43,Temple,200,3000,0,73.3,11.0,2025-12-12 07:29:42
84,Street-side Hampi Palace,50,Palace,200,2000,0,89.5,0,2025-02-09 12:35:41
85,Chennai Cave,106,Cave,0,0,50,52.3,37.7,2025-03-11 15:08:53
86,Madurai Church,107,Church,50,750,0,88.1,0,2025-10-12 09:35:34
87,Special Tirupati Wildlife Sanctuary,3,Fort,200,3000,0,63.9,14.0,2026-06-15 19:41:31
88,Calangute Lake,26,Lake,100,500,50,55.7,43.5,2025-06-06 23:26:30
89,Jim Corbett Wildlife Sanctuary,133,Wildlife Sanctuary,0,0,50,72.7,11.6,2025-09-17 09:23:03
90,Traditional Dharamshala Wildlife Sanctuary,41,Church,50,500,25,66.3,21.4,2025-03-11 22:59:19
91,Udaipur (Tripura) Waterfall,118,Waterfall,30,240,0,54.5,48.6,2026-02-07 09:57:11
92,Bhubaneswar Lake,86,Lake,50,250,0,75.9,13.6,2026-01-12 11:35:43
93,Moirang Bridge,78,Bridge,150,1500,0,64.9,24.1,2026-01-31 01:02:01
94,Nizamabad Waterfall,116,Waterfall,50,750,0,81.0,5.6,2025-04-17 14:41:55
95,Shillong Fort,79,Fort,10,150,50,68.8,23.6,2026-05-29 01:17:01
96,Hampi Zoo,50,Zoo,200,1000,25,72.1,18.0,2026-05-20 03:01:09
97,Amritsar Wildlife Sanctuary,91,Waterfall,20,300,50,48.2,43.2,2026-04-02 08:46:41
98,Hubballi Monastery,54,Monastery,100,1500,0,62.9,36.3,2026-01-28 01:40:37
99,Grandma's Udaipur Garden,96,Garden,10,50,0,73.7,16.0,2026-03-19 18:42:56
100,Rishikesh Hill Station Point,128,Market,10,80,0,73.1,16.9,2025-01-15 19:58:01
101,Kohima Temple,84,Temple,10,50,0,76.4,9.4,2025-08-18 06:03:52
102,Premium Dibrugarh Wildlife Sanctuary,11,Lake,10,100,50,85.8,0,2025-02-08 13:59:08
103,Family Recipe Calangute Monastery,26,Monastery,200,1000,50,74.8,12.1,2025-08-28 08:22:40
104,Kozhikode Church,59,Church,100,1000,25,85.4,0,2025-03-26 02:10:51
105,Jagdalpur Zoo,22,Zoo,200,1000,50,76.9,8.1,2026-03-25 03:47:30
106,Patna Viewpoint,15,Viewpoint,30,300,100,64.0,29.1,2026-02-08 07:58:40
107,Gwalior Waterfall,65,Waterfall,20,300,50,87.4,0,2025-07-23 00:12:25
108,Hubballi National Park,54,Garden,10,80,0,86.8,0,2025-06-27 21:27:10
109,Cuttack Monastery,89,Monastery,150,1500,0,84.5,0.4,2026-01-10 16:40:02
110,Dibrugarh Zoo,11,Zoo,50,500,25,63.1,38.5,2025-04-25 10:14:00
111,Pachmarhi Waterfall,67,Waterfall,100,1000,50,83.0,2.8,2025-09-26 11:04:01
112,Lachung Waterfall,105,Waterfall,150,1500,25,73.1,11.2,2025-01-17 08:51:39
113,Classic Mussoorie Heritage Walk,131,Garden,20,100,100,79.1,8.1,2025-07-09 04:07:25
114,Panipat Hill Station Point,38,Palace,200,1600,0,72.6,13.2,2025-04-21 20:11:11
115,Vasco da Gama Monastery,25,Monastery,10,50,0,65.3,21.6,2026-04-13 16:14:51
116,Udaipur (Tripura) Beach,118,Beach,10,100,0,63.6,19.6,2025-08-05 08:56:06
117,Chennai Zoo,106,Zoo,200,1000,0,83.6,2.0,2025-05-30 22:40:08
118,Mount Abu National Park,100,Temple,100,800,0,54.1,24.1,2025-08-24 05:02:02
119,Raipur Monastery,20,Monastery,10,80,25,43.3,70.9,2025-11-16 04:23:07
120,Digha Zoo,136,Zoo,20,300,0,85.1,0,2026-03-05 12:56:14
121,Bikaner Heritage Walk,101,Museum,0,0,50,40.7,51.4,2025-05-24 14:13:18
122,Kovalam Beach,61,Beach,0,0,0,42.1,54.1,2025-10-26 01:24:36
123,Agra Waterfall,120,Waterfall,10,50,0,79.7,7.3,2026-03-08 01:13:22
124,Wayanad Temple,60,Temple,30,450,0,79.0,10.4,2026-03-24 20:35:18
125,Spicy Dwarka National Park,32,Viewpoint,20,100,0,56.9,20.0,2025-10-01 10:54:21
126,Nainital Palace,130,Palace,20,100,25,67.5,27.9,2026-02-16 06:24:37
127,Kullu Lake,42,Lake,20,300,50,55.7,38.5,2025-12-18 09:41:41
128,Surat Zoo,29,Zoo,0,0,0,48.3,28.5,2026-03-06 00:13:15
129,Village-style Ooty Fort,109,Fort,20,160,100,53.8,19.4,2026-01-31 02:37:04
130,Kanpur Monastery,125,Monastery,100,500,25,60.4,26.2,2025-07-23 20:41:35
131,Shillong Garden,79,Garden,10,80,25,62.5,21.7,2025-10-22 13:36:07
132,Authentic Calangute Waterfall,26,Waterfall,30,300,0,79.1,6.4,2026-03-08 02:21:45
133,Vijayawada Lake,2,Lake,150,2250,50,69.2,15.0,2025-10-14 06:57:43
134,Signature Haridwar Church,129,Church,20,100,100,93.0,0,2025-07-21 02:43:10
135,Cherrapunji Waterfall,80,Waterfall,10,80,25,69.8,18.6,2025-02-22 23:31:20
136,Bhopal Bridge,62,Bridge,30,150,25,74.4,15.5,2026-06-19 07:40:21
137,Thanjavur Wildlife Sanctuary,113,Cave,150,1200,100,76.4,9.0,2025-12-03 15:36:02
138,Indore Waterfall,63,Waterfall,200,3000,0,70.3,11.8,2026-04-11 11:09:56
139,Prayagraj Zoo,124,Zoo,20,300,25,75.8,11.3,2025-10-27 02:53:25
140,Chef's Shantiniketan Beach,138,Beach,30,150,100,65.6,12.0,2025-12-10 00:14:21
141,Bengaluru Wildlife Sanctuary,48,Museum,0,0,100,46.5,26.9,2025-03-27 08:34:34
142,Amritsar Dam,91,Dam,30,240,50,63.1,38.5,2026-03-15 12:03:26
143,Raipur Fort,20,Fort,20,200,100,59.3,45.9,2025-05-24 03:43:20
144,Authentic Dharamshala Hill Station Point,41,Waterfall,0,0,100,69.9,17.0,2025-08-09 16:21:42
145,Village-style Pushkar Museum,99,Museum,50,500,25,75.9,10.1,2025-11-03 12:33:52
146,Dalhousie Market,44,Market,30,240,0,73.0,11.1,2026-04-18 06:25:17
147,Tawang Museum,8,Museum,10,80,0,81.3,3.2,2025-10-14 08:19:31
148,Premium Gangtok National Park,103,Bridge,50,400,25,68.4,27.2,2025-07-22 06:37:31
149,Rishikesh Museum,128,Museum,20,160,100,60.1,40.8,2025-09-02 10:15:06
150,Premium Aizawl Bridge,82,Bridge,20,200,50,45.0,64.0,2025-09-09 21:28:37
151,Street-side Ludhiana Lake,93,Lake,0,0,50,57.5,27.7,2026-05-18 11:53:45
152,Classic Thiruvananthapuram Lake,56,Lake,50,750,100,80.7,4.2,2025-01-20 06:30:15
153,Chef's Moirang Waterfall,78,Waterfall,200,3000,0,84.7,0.5,2025-03-05 22:17:43
154,Chef's Auli Garden,132,Garden,30,150,50,77.1,8.5,2025-12-28 10:59:08
155,Udaipur (Tripura) Zoo,118,Zoo,10,80,50,70.7,23.2,2026-04-10 19:44:49
156,Tirupati Lake,3,Lake,20,160,100,70.8,19.2,2025-12-02 02:38:41
157,Ahmedabad Garden,28,Garden,0,0,100,70.4,15.5,2026-02-23 08:31:43
158,Roadside Rishikesh Viewpoint,128,Viewpoint,150,1500,25,72.0,14.2,2026-04-19 06:04:32
159,Classic Guntur Church,4,Church,10,50,25,92.8,0,2025-05-18 07:03:43
160,Udupi Cave,53,Cave,150,1200,25,59.3,43.5,2025-06-26 10:05:59
161,Gaya Hill Station Point,16,Viewpoint,50,250,0,75.0,16.4,2026-02-12 06:29:34
162,Local Favourite Bhopal Lake,62,Lake,30,450,50,70.0,14.8,2025-12-11 11:40:51
163,Patiala Garden,94,Garden,30,450,100,59.7,22.4,2026-05-31 12:30:13
164,Royal Deoghar Beach,47,Beach,30,240,25,59.8,32.4,2025-10-25 20:00:17
165,Deluxe Mysuru Wildlife Sanctuary,49,Waterfall,0,0,100,49.9,50.3,2026-05-31 10:08:18
166,Roadside Rajahmundry Palace,5,Palace,200,2000,0,58.7,31.2,2026-06-27 15:56:02
167,Agartala Lake,117,Lake,30,150,100,56.8,31.1,2025-07-31 01:50:53
168,Itanagar Fort,7,Fort,10,80,50,70.6,21.1,2025-02-22 02:11:47
169,Spicy Guwahati Wildlife Sanctuary,10,Viewpoint,200,2000,100,56.9,36.0,2026-02-03 11:53:39
170,Jagdalpur Wildlife Sanctuary,22,Viewpoint,20,100,0,71.5,8.2,2025-06-02 23:59:02
171,Nashik Waterfall,72,Waterfall,20,300,0,54.6,21.3,2025-07-12 20:19:58
172,Mussoorie Hill Station Point,131,Beach,150,2250,0,73.3,8.7,2026-02-11 09:22:35
173,Margao Church,24,Church,0,0,50,77.0,9.2,2025-03-22 09:42:56
174,Spicy Udupi Beach,53,Beach,100,1500,50,49.3,59.1,2025-07-18 23:18:52
175,Extra Cheesy Vijayawada Waterfall,2,Waterfall,100,1000,0,90.8,0,2025-09-10 06:22:39
176,Patiala Cave,94,Cave,100,500,0,91.3,0,2026-01-19 05:44:39
177,Hampi Beach,50,Beach,50,750,100,74.6,13.6,2026-05-08 14:20:11
178,Kovalam Temple,61,Temple,30,450,100,71.5,24.2,2025-12-23 23:50:40
179,Bilaspur Cave,21,Cave,200,2000,50,63.3,19.5,2025-01-17 05:29:56
180,Ahmedabad Fort,28,Fort,200,1000,100,74.2,6.6,2025-12-03 15:24:52
181,Haridwar Lake,129,Lake,200,3000,25,84.3,1.1,2026-01-09 23:14:01
182,Faridabad Wildlife Sanctuary,36,Wildlife Sanctuary,10,150,0,64.2,18.2,2025-06-16 23:30:46
183,Village-style Kurukshetra Dam,37,Dam,100,1000,50,71.4,14.8,2025-05-13 06:53:26
184,Noida Viewpoint,126,Viewpoint,100,1000,0,83.9,1.9,2026-01-06 14:41:39
185,Authentic Jaipur Viewpoint,95,Viewpoint,100,800,100,87.3,0,2025-08-03 21:09:55
186,Roadside Kullu Church,42,Church,200,1600,0,83.0,1.8,2025-10-04 20:05:57
187,Kolkata Bridge,134,Bridge,30,300,50,50.2,51.9,2026-01-10 08:54:21
188,Kochi Church,55,Church,10,100,0,77.6,6.1,2025-11-09 01:08:37
189,Nizamabad Monastery,116,Monastery,30,300,0,51.1,49.2,2026-01-18 15:13:49
190,Spicy Mumbai Bridge,69,Bridge,0,0,25,89.2,0,2026-03-15 07:51:45
191,Local Favourite Vijayawada Heritage Walk,2,Heritage Walk,30,150,50,82.8,1.5,2025-03-26 02:23:53
192,Indore Market,63,Market,30,240,100,50.0,46.5,2025-01-19 20:27:44
193,Ranchi Fort,45,Fort,150,2250,100,63.9,30.4,2026-02-20 04:15:36
194,Festival Rajahmundry Church,5,Church,10,50,50,75.7,10.6,2025-04-11 18:03:19
195,Nizamabad Wildlife Sanctuary,116,Fort,20,160,50,84.5,0.7,2025-10-02 05:57:23
196,Bodh Gaya National Park,17,Zoo,150,750,0,62.8,37.3,2025-02-14 10:08:08
197,Mussoorie Beach,131,Beach,30,300,0,45.9,57.5,2025-02-20 15:46:32
198,Mangaluru Waterfall,51,Waterfall,20,300,25,60.2,39.2,2025-10-12 21:19:42
199,Chef's Shantiniketan Dam,138,Dam,200,1000,25,51.6,44.5,2025-09-07 10:33:48
200,Jorhat Waterfall,12,Waterfall,200,1600,0,83.8,1.8,2025-07-05 02:07:09
201,Mussoorie Garden,131,Garden,200,1600,100,42.9,27.5,2026-03-13 12:47:33
202,Pushkar Viewpoint,99,Viewpoint,10,50,0,69.0,15.4,2026-03-02 17:48:31
203,Guwahati Temple,10,Temple,100,500,0,83.8,1.7,2026-06-15 06:02:59
204,Panaji National Park,23,Lake,20,100,0,58.3,33.0,2025-11-29 23:20:10
205,Family Recipe Haridwar Beach,129,Beach,30,150,0,63.1,32.8,2026-05-04 12:08:29
206,Aurangabad Waterfall,73,Waterfall,10,150,50,78.7,5.8,2026-02-18 14:18:32
207,Aizawl Monastery,82,Monastery,50,500,25,42.0,52.2,2026-01-16 13:27:00
208,Vijayawada Waterfall,2,Waterfall,10,100,0,62.4,13.9,2025-10-18 07:06:02
209,Bhopal Monastery,62,Monastery,0,0,25,88.1,0,2025-08-16 16:04:50
210,Patiala Lake,94,Lake,10,50,50,78.4,11.2,2026-03-19 20:06:54
211,Calangute Zoo,26,Zoo,20,100,50,83.6,2.2,2025-10-22 19:17:07
212,Patna Zoo,15,Zoo,0,0,50,66.8,20.6,2026-05-10 22:59:01
213,Udaipur (Tripura) Hill Station Point,118,Market,20,100,0,74.2,16.9,2025-07-10 05:54:13
214,Quick-bite Chennai Wildlife Sanctuary,106,Market,150,750,0,70.8,13.0,2025-10-29 04:00:43
215,Pachmarhi Cave,67,Cave,50,500,100,84.4,1.0,2026-02-11 16:31:20
216,Panipat Garden,38,Garden,200,3000,0,70.4,15.2,2025-12-01 04:47:36
217,Signature Dibrugarh Zoo,11,Zoo,10,80,100,61.2,21.8,2025-10-20 04:54:40
218,Gaya Fort,16,Fort,30,450,50,67.1,22.2,2025-10-28 18:40:19
219,Bilaspur Waterfall,21,Waterfall,30,150,0,56.7,25.7,2026-05-23 23:18:31
220,Mawlynnong Lake,81,Lake,50,750,50,66.6,25.5,2025-08-07 12:16:10
221,Mathura Cave,122,Cave,200,2000,50,46.8,31.4,2025-04-09 06:49:44
222,Aurangabad Hill Station Point,73,Hill Station Point,50,500,100,71.7,18.3,2025-11-26 12:51:23
223,Moirang Fort,78,Fort,150,1500,50,68.3,21.1,2025-11-04 19:27:53
224,Pushkar Lake,99,Lake,20,300,25,50.0,53.2,2025-02-19 16:19:52
225,Haridwar Lake,129,Lake,20,200,50,69.8,21.4,2025-07-13 08:50:09
226,Chennai Cave,106,Cave,100,800,100,75.0,13.5,2025-04-27 20:29:48
227,Premium Jaipur Cave,95,Cave,100,1000,0,62.6,18.9,2026-01-14 22:56:24
228,Shantiniketan Garden,138,Garden,50,400,0,69.5,10.1,2026-04-27 18:15:32
229,Rajahmundry Wildlife Sanctuary,5,Wildlife Sanctuary,30,450,0,89.1,0,2026-05-12 02:09:26
230,Imphal Zoo,77,Zoo,100,1000,0,67.4,25.2,2026-01-28 00:20:56
231,Bilaspur Dam,21,Dam,20,200,0,85.1,0,2026-02-17 03:36:08
232,Grandma's Calangute Hill Station Point,26,Fort,100,1000,0,69.0,11.0,2025-07-15 07:46:24
233,Manali Heritage Walk,40,Lake,30,450,0,93.6,0,2025-09-04 23:25:28
234,Royal Darjeeling Museum,135,Museum,100,800,100,44.7,25.3,2025-10-30 07:00:45
235,Cherrapunji Beach,80,Beach,200,1600,25,73.0,9.3,2025-12-27 07:52:55
236,Vijayawada Monastery,2,Monastery,30,300,0,46.2,60.0,2025-10-13 09:46:00
237,Grandma's Kalimpong Wildlife Sanctuary,139,Garden,10,100,0,75.2,8.4,2025-03-24 10:46:41
238,Homestyle Madurai Beach,107,Beach,20,100,100,49.5,29.5,2026-02-19 04:42:27
239,Ooty Hill Station Point,109,Temple,100,1000,50,86.1,0,2025-05-20 17:25:16
240,Warangal Beach,115,Beach,150,1500,50,64.6,28.9,2025-09-12 10:39:31
241,Jaipur Garden,95,Garden,200,2000,100,67.5,22.6,2025-02-02 21:04:12
242,Guntur Church,4,Church,10,100,0,79.4,9.0,2026-01-08 11:33:06
243,Pushkar Wildlife Sanctuary,99,Lake,200,3000,0,70.2,17.7,2026-02-03 04:09:16
244,Puri Fort,87,Fort,200,1600,25,55.9,38.5,2025-02-15 11:14:07
245,Mahabalipuram Fort,112,Fort,200,1000,100,85.9,0,2025-10-21 01:34:21
246,Deluxe Lucknow Museum,119,Museum,20,300,25,63.2,34.1,2025-10-12 01:17:46
247,Ayodhya Monastery,123,Monastery,30,450,0,69.8,20.5,2026-03-14 11:26:35
248,Homestyle Visakhapatnam Heritage Walk,1,Garden,30,240,50,89.9,0,2025-03-12 16:39:48
249,Prayagraj Hill Station Point,124,Zoo,50,750,100,83.7,2.0,2026-03-05 13:07:41
250,Classic Imphal Hill Station Point,77,Waterfall,50,750,0,69.9,9.8,2026-06-03 01:44:01
251,Ahmedabad Waterfall,28,Waterfall,30,150,25,43.2,45.4,2025-03-21 10:08:15
252,Auli National Park,132,Bridge,20,100,100,88.3,0,2025-04-08 13:20:44
253,Festival Spiti National Park,43,Church,20,300,50,70.4,18.4,2025-03-06 09:30:54
254,Cherrapunji Viewpoint,80,Viewpoint,10,150,0,82.0,3.6,2026-06-29 12:46:23
255,Aizawl National Park,82,National Park,30,240,100,51.7,40.6,2026-02-08 17:00:37
256,Udaipur (Tripura) Waterfall,118,Waterfall,0,0,25,67.9,12.3,2026-05-03 03:54:40
257,Kovalam Beach,61,Beach,0,0,25,79.0,8.1,2025-09-26 13:03:33
258,Warangal Hill Station Point,115,Lake,150,2250,25,57.2,40.6,2025-08-01 11:13:13
259,Shimla Palace,39,Palace,20,100,25,76.6,13.7,2026-03-26 01:57:28
260,Chef's Ludhiana Beach,93,Beach,100,1500,0,48.1,39.8,2025-03-03 06:18:34
261,Jamshedpur Wildlife Sanctuary,46,Bridge,0,0,0,51.0,42.1,2025-04-06 17:01:56
262,Faridabad Palace,36,Palace,30,300,25,80.0,7.7,2026-05-24 21:57:02
263,Street-side Aurangabad Fort,73,Fort,30,450,0,46.3,55.0,2026-03-22 07:13:19
264,Mathura Dam,122,Dam,150,1500,0,83.9,1.5,2025-06-20 09:49:08
265,Lucknow Bridge,119,Bridge,50,400,50,70.9,13.9,2025-06-07 13:04:40
266,Village-style Imphal Garden,77,Garden,200,2000,25,45.9,47.9,2025-08-07 07:16:34
267,Mawlynnong National Park,81,Hill Station Point,30,300,25,63.9,23.1,2025-03-03 13:03:55
268,Digha Market,136,Market,50,750,100,54.7,36.7,2025-11-01 01:56:13
269,Quick-bite Gwalior Wildlife Sanctuary,65,Viewpoint,100,800,0,79.2,5.4,2026-05-22 23:51:51
270,Extra Cheesy Mussoorie Hill Station Point,131,Waterfall,20,200,50,70.0,11.1,2026-03-15 09:15:30
271,Classic Ujjain Lake,66,Lake,30,450,0,73.2,12.8,2025-07-25 17:56:20
272,Authentic Konark Market,88,Market,0,0,0,79.3,9.7,2026-03-19 17:15:46
273,Kozhikode Beach,59,Beach,200,3000,0,93.1,0,2025-01-04 12:55:24
274,Dibrugarh Dam,11,Dam,100,1000,100,64.0,26.7,2025-07-25 04:41:02
275,Grandma's Lucknow National Park,119,Viewpoint,20,300,0,79.6,6.8,2026-06-15 02:51:46
276,Jim Corbett Fort,133,Fort,50,400,100,92.1,0,2026-05-10 15:46:01
277,Noida Museum,126,Museum,50,500,25,53.9,21.7,2025-08-06 14:27:16
278,Surat Heritage Walk,29,Church,150,750,50,83.5,1.2,2025-07-01 05:03:13
279,Deoghar Lake,47,Lake,30,150,0,68.0,19.5,2026-02-07 09:06:39
280,Alibaug Zoo,76,Zoo,100,800,25,58.2,19.8,2025-08-26 07:36:32
281,Margao Wildlife Sanctuary,24,Temple,10,50,0,71.6,21.6,2026-01-27 22:29:21
282,Nainital Church,130,Church,200,1600,100,55.1,33.7,2025-12-05 10:13:04
283,Jagdalpur Lake,22,Lake,10,80,50,84.9,0.1,2026-04-29 02:25:15
284,Spicy Kanyakumari Museum,110,Museum,150,1500,0,56.2,21.2,2026-04-22 09:10:20
285,Kochi Lake,55,Lake,30,450,50,65.6,27.2,2026-04-14 06:29:45
286,Tawang Market,8,Market,200,1600,0,67.4,15.0,2026-04-02 21:35:56
287,Guwahati National Park,10,Waterfall,50,250,0,88.1,0,2025-12-06 22:52:37
288,Konark Heritage Walk,88,Bridge,50,250,0,78.9,10.2,2025-12-26 18:56:01
289,Cuttack Church,89,Church,100,1000,50,80.3,3.3,2025-06-15 17:14:55
290,Chilika Palace,90,Palace,100,500,100,48.4,27.9,2025-10-23 02:17:05
291,Rishikesh Zoo,128,Zoo,50,400,0,83.0,2.7,2026-05-20 22:47:31
292,Itanagar Viewpoint,7,Viewpoint,20,200,0,76.2,8.0,2025-12-21 16:04:49
293,Khajuraho Fort,64,Fort,150,1500,50,71.0,19.1,2025-04-02 13:12:19
294,Panaji Hill Station Point,23,Wildlife Sanctuary,10,80,25,50.2,47.9,2025-03-29 04:15:35
295,Ayodhya Dam,123,Dam,10,150,50,90.3,0,2026-06-10 18:27:32
